报告,编号,层级,来源,标题,URL,原文文件,文本层文件,取回方式,备注
供电架构,P11,一手,IEC / UL,IEC 62368-1:2023（第 4 版）／UL 62368-1,https://webstore.iec.ch/en/publication/69308,P11_webstore-iec-ch-69308.html,,直连,
供电架构,P12,一手,ETSI,"EN 300 132-3 V2.3.1, Power supply interface at the input to ICT equipment — Part 3",https://www.etsi.org/deliver/etsi_en/300100_300199/30013203/02.03.01_60/en_30013203v020301p.pdf,P12_en_30013203v020301p.pdf,,直连,
供电架构,P13,二手,UL,UL 857 Ed.14（母线槽，上限提至 1000 VDC）,,,,未取得,报告中已声明无可引用 URL
供电架构,P14,一手,VDE / DKE / ZVEI-ODCA,"VDE SPEC 90037 V1.0/V1.1, System Description DC-INDUSTRIE",https://odca.zvei.org/news-events/news/odca-system-description-as-vde-spec-90037,P14_odca-system-description-as-vde-spec-90037.html,,直连,
供电架构,P15,二手,NFPA / IEEE,NFPA 70 (NEC) Article 706；NFPA 70E Annex D；IEEE 1584,https://mgrid.org/2026/05/17/nec-article-706-and-the-800-vdc-data-center-distribution-code-gap-that-solid-state-transformer-deployments-must-bridge/,P15_nec-article-706-and-the-800-vdc-data-center-distribution-code-gap-that.html,,直连,
供电架构,P16,一手,国家标准化管理委员会,GB/T 38833-2020《信息通信用 240V/336V 直流供电系统技术要求和试验方法》,https://std.samr.gov.cn/,P16_std.samr.gov.cn.html,,直连,
供电架构,P17,一手,国家标准化管理委员会,GB 40879-2021《数据中心能效限定值及能效等级》,https://ndls.org.cn/standard/detail/ef75ec7d4272685cc15e9efdaf331e6f,P17_ef75ec7d4272685cc15e9efdaf331e6f.html,,直连,
供电架构,P18,一手,European Commission,Commission Delegated Regulation (EU) 2024/1364,https://eur-lex.europa.eu/eli/reg_del/2024/1364/oj/eng,P18_eur-lex-europa-eu-eng.html,,wayback:20260913061738,
供电架构,P19,厂商,NVIDIA,800 VDC Architecture for Next-Generation AI Infrastructure（White Paper V1）,https://dam-cdn.nvd.orangelogic.com/AssetLink/12077q676nxqj8nu1bv852hobc7wmn1s.pdf,P19_12077q676nxqj8nu1bv852hobc7wmn1s.pdf,,直连,
供电架构,P20,厂商,NVIDIA,800 VDC Architecture: Industry Alignment &amp; Execution（White Paper V2）,https://dam-cdn.nvd.orangelogic.com/AssetLink/7rj0u54stc41tk6s57dbs2p0qdte5874.pdf,P20_7rj0u54stc41tk6s57dbs2p0qdte5874.pdf,,直连,
供电架构,P21,厂商,NVIDIA,NVIDIA 800 V HVDC Architecture Will Power the Next Generation of AI Factories,https://developer.nvidia.com/blog/nvidia-800-v-hvdc-architecture-will-power-the-next-generation-of-ai-factories/,P21_nvidia-800-v-hvdc-architecture-will-power-the-next-generation-of-ai-fa.html,,直连,
供电架构,P22,厂商,NVIDIA,"Building the 800 VDC Ecosystem for Efficient, Scalable AI Factories",https://developer.nvidia.com/blog/building-the-800-vdc-ecosystem-for-efficient-scalable-ai-factories/,P22_building-the-800-vdc-ecosystem-for-efficient-scalable-ai-factories.html,,直连,
供电架构,P23,厂商,NVIDIA,Why Scaling AI Compute Performance Requires a New Power Architecture,https://blogs.nvidia.com/blog/800-vdc-power-architecture-ai-factory/,P23_800-vdc-power-architecture-ai-factory.html,,直连,
供电架构,P24,厂商,NVIDIA,"NVIDIA, Partners Drive Next-Gen Efficient Gigawatt AI Factories（Vera Rubin / OCP）",https://blogs.nvidia.com/blog/gigawatt-ai-factories-ocp-vera-rubin/,P24_gigawatt-ai-factories-ocp-vera-rubin.html,,直连,
供电架构,P25,厂商,NVIDIA,How New GB300 NVL72 Features Provide Steady Power for AI,https://developer.nvidia.com/blog/how-new-gb300-nvl72-features-provide-steady-power-for-ai/,P25_how-new-gb300-nvl72-features-provide-steady-power-for-ai.html,,直连,
供电架构,P26,厂商,NVIDIA,Building the Modular Foundation for AI Factories with NVIDIA MGX,https://developer.nvidia.com/blog/building-the-modular-foundation-for-ai-factories-with-nvidia-mgx/,P26_building-the-modular-foundation-for-ai-factories-with-nvidia-mgx.html,,直连,
供电架构,P27,厂商,NVIDIA,Inside the NVIDIA Vera Rubin Platform,https://developer.nvidia.com/blog/inside-the-nvidia-rubin-platform-six-new-chips-one-ai-supercomputer/,P27_inside-the-nvidia-rubin-platform-six-new-chips-one-ai-supercomputer.html,,直连,
供电架构,P28,厂商,Google Cloud,Enabling 1 MW IT racks and liquid cooling at OCP EMEA Summit,https://cloud.google.com/blog/topics/systems/enabling-1-mw-it-racks-and-liquid-cooling-at-ocp-emea-summit,P28_enabling-1-mw-it-racks-and-liquid-cooling-at-ocp-emea-summit.html,,直连,
供电架构,P29,厂商,Google Cloud,Google and Facebook share proposed new Open Rack standard with 48-volt power architecture,https://cloud.google.com/blog/products/gcp/google-and-facebook-share-proposed-new-open-rack-standard-with-48-volt-power-architecture/,P29_google-and-facebook-share-proposed-new-open-rack-standard-with-48-volt.html,,直连,
供电架构,P30,厂商,Google,Google signed 1 GW of data center demand response,https://blog.google/innovation-and-ai/infrastructure-and-cloud/global-network/demand-response-data-center-milestone/,P30_demand-response-data-center-milestone.html,,直连,
供电架构,P31,厂商,Vertiv,From rack to data hall: the practical path to 800 VDC,https://www.vertiv.com/en-emea/insights/articles/blog-posts/from-rack-to-data-hall-the-practical-path-to-800-vdc/,P31_from-rack-to-data-hall-the-practical-path-to-800-vdc.html,,直连,
供电架构,P32,厂商,Vertiv,From vision to readiness: Vertiv collaborates with NVIDIA to advance 800 VDC platform designs,https://www.vertiv.com/en-us/about/news-and-events/corporate-news/from-vision-to-readiness-vertiv-collaborates-with-nvidia-to-advance-800-vdc-platform-designs-to-power-the-next-generation-of-ai-factories/,P32_from-vision-to-readiness-vertiv-collaborates-with-nvidia-to-advance-80.html,,直连,
供电架构,P33,厂商,Schneider Electric,800 VDC architecture – Reimagining AI data power,https://www.se.com/ww/en/insights/ai-and-technology/artificial-intelligence/vdc-powering-the-future-of-ai-data-centers/,,,未取得,站点反爬拦截，Wayback 亦无可用快照
供电架构,P34,厂商,Schneider Electric,Galaxy VXL 3-Phase UPS 产品规格,https://www.se.com/uk/en/work/products/product-launch/galaxy-vxl/,,,未取得,站点反爬拦截，Wayback 亦无可用快照
供电架构,P35,厂商,Delta Electronics,Delta's 800 VDC Power Solutions Showcased at OCP Global Summit 2025,https://www.delta-americas.com/en-us/news/deltas-groundbreaking-800-vdc-power-solutions-showcased-at-ocp-global-summit-2025-to-enable-sustainable-ai-factories,P35_deltas-groundbreaking-800-vdc-power-solutions-showcased-at-ocp-global-.html,,直连,
供电架构,P36,厂商,台达电子,全球首发：算力中心 SST 智能直流供电商业化方案,https://www.delta-china.com.cn/zh-CN/news/40009,P36_www-delta-china-com-cn-40009.html,,直连,
供电架构,P37,厂商,华为数字能源,FusionPower6000 电力模块产品规格,https://digitalpower.huawei.com/cn/data-center-facility/fusionpower6000,P37_fusionpower6000.html,,直连,
供电架构,P38,厂商,华为数字能源,华为携源网荷储 AIDC 解决方案亮相 ODCC,https://digitalpower.huawei.com/cn/news/data-center-facility/2026odx,P38_2026odx.html,,直连,
供电架构,P39,一手,Advanced Energy,"50V, 33kW, 1OU Open Rack HPR Power Shelf Datasheet",https://www.advancedenergy.com/getmedia/94323236-079b-43cd-9572-a3f3fcb7afeb/ENG-50V-33kW-1OU-ORV3-HPR-Power-Shelves-050825.pdf,P39_ENG-50V-33kW-1OU-ORV3-HPR-Power-Shelves-050825.pdf,,直连,
供电架构,P40,一手,Advanced Energy,ORV3 Power System Technical Reference,https://www.advancedenergy.com/en-us/products/ac-dc-power-supply-units/power-shelves/orv3-high-power-rack-(hpr)/,P40_orv3-high-power-rack--hpr.html,,直连,
供电架构,P41,厂商,Texas Instruments,TI unveils complete 800 VDC power architecture for future generation AI data centers with NVIDIA,https://www.ti.com/about-ti/newsroom/news-releases/2026/2026-03-16-ti-unveils-complete-800-vdc-power-architecture-for-future-generation-ai-data-centers-with-nvidia.html,P41_2026-03-16-ti-unveils-complete-800-vdc-power-architecture-for-future-g.html,,直连,
供电架构,P42,厂商,Power Integrations,1250 V / 1750 V PowiGaN for 800 VDC AI Data Center Architecture,https://www.power.com/resources/green-room/blog/1250-v-1750-v-gan-solution-addresses-need-800-v-bus-architectures-power-hungry-ai-data-centers,P42_1250-v-1750-v-gan-solution-addresses-need-800-v-bus-architectures-powe.html,,直连,
供电架构,P43,厂商,Infineon,18 kW 三相 PSU 参考设计与 30 kW T-type PFC 评估板,https://www.semiconductor-today.com/news_items/2026/jun/infineon-290626.shtml,P43_infineon-290626.shtml.html,,直连,
供电架构,P44,厂商,Vicor,Disaggregating Power in Data Centers,https://www.vicorpower.com/resource-library/articles/high-performance-computing/disaggregating-power-in-data-centers,P44_disaggregating-power-in-data-centers.html,,直连,
供电架构,P45,厂商,Murata,Powering your Open Compute ORV3 Style Rack in today's AI-driven landscape,https://www.murata.com/-/media/webrenewal/campaign/events/americas/ocp---open-compute-project/powering-your-open-compute-style-rack.ashx,P45_powering-your-open-compute-style-rack.pdf,,直连,
供电架构,P46,厂商,Flex,"Higher voltage, higher stakes: prioritizing worker safety in AI data centers",https://flex.com/resources/higher-voltage-higher-stakes-prioritizing-worker-safety-in-ai-data-centers,P46_higher-voltage-higher-stakes-prioritizing-worker-safety-in-ai-data-cen.html,,直连,
供电架构,P47,一手,Eaton,Eaton completes acquisition of Resilient Power Systems Inc.,https://www.eaton.com/us/en-us/company/news-insights/news-releases/2025/eaton-completes-acquisition-of-resilient-power-systems-inc---str.html,P47_eaton-completes-acquisition-of-resilient-power-systems-inc---str.html,,wayback:20260310091627,
供电架构,P48,一手,Vertiv Holdings,"Form 8-K, Exhibit 99.1（Q2 2026 业绩）",https://www.sec.gov/Archives/edgar/data/0001674101/000162828026050323/q22026exhibit991vrt07292026.htm,P48_q22026exhibit991vrt07292026.html,,direct-sec,
供电架构,P49,一手,Vertiv Holdings,Form 10-Q（截至 2026-06-30）,https://www.sec.gov/Archives/edgar/data/0001674101/000162828026050609/vrt-20260630.htm,P49_vrt-20260630.html,,direct-sec,
供电架构,P50,一手,Vertiv Holdings,Second Quarter 2026 Results Presentation,https://s205.q4cdn.com/554782763/files/doc_financials/2026/q2/Vertiv-Second-Quarter-2026-Results-Presentation.pdf,P50_Vertiv-Second-Quarter-2026-Results-Presentation.pdf,,直连,
供电架构,P51,一手,Eaton Corporation,"Form 8-K, Exhibit 99（Q2 2026）",https://www.sec.gov/Archives/edgar/data/1551182/000155118226000027/etn06302026exhibit99.htm,P51_etn06302026exhibit99.html,,direct-sec,
供电架构,P52,一手,Siemens AG,Record third quarter – Outlook raised（Q3 FY2026）,https://press.siemens.com/global/en/pressrelease/record-third-quarter-outlook-raised,P52_record-third-quarter-outlook-raised.html,,直连,
供电架构,P53,一手,ABB Ltd,Q2 2026 Results,https://new.abb.com/news/detail/137496/q2-2026-results,P53_q2-2026-results.html,,直连,
供电架构,P54,一手,Legrand,2026 First-Half Results,https://www.legrand.com/en/news/2026-first-half-results,P54_2026-first-half-results.html,,直连,
供电架构,P55,一手,Flex Ltd,"Form 8-K, Exhibit 99.1（EPC Power 收购与 CPI 分拆）",https://www.sec.gov/Archives/edgar/data/0000866374/000119312526382492/d108491dex991.htm,P55_d108491dex991.html,,direct-sec,
供电架构,P56,一手,Advanced Energy Industries,"Form 8-K, Exhibit 99.1（Q1 2026）",https://www.sec.gov/Archives/edgar/data/0000927003/000092700326000012/aeis-20260504xex99d1.htm,P56_aeis-20260504xex99d1.html,,direct-sec,
供电架构,P57,一手,深圳麦格米特电气,2026 年半年度报告（全文，238 页）,https://static.cninfo.com.cn/finalpage/2026-08-28/1225522762.PDF,P57_1225522762.PDF,,http-downgrade,
供电架构,P58,一手,科华数据,2026 年半年度报告摘要,http://static.cninfo.com.cn/finalpage/2026-08-28/1225522568.PDF,P58_static-cninfo-com-cn-1225522568.pdf,,直连,
供电架构,P59,一手,深圳欧陆通电子,2025 年年度报告摘要,https://static.cninfo.com.cn/finalpage/2026-04-22/1225135601.PDF,P59_1225135601.PDF,,http-downgrade,
供电架构,P60,一手,PJM Interconnection,"PJM, Dominion Review Large Load Transfer Event",https://insidelines.pjm.com/pjm-dominion-review-large-load-transfer-event/,P60_pjm-dominion-review-large-load-transfer-event.html,,直连,
供电架构,P61,二手,NERC,"Level 3 ""Essential Actions"" Alert（计算类负荷）",https://www.utilitydive.com/news/nerc-issues-rare-level-3-alert-over-data-center-load-losses/819295/,,,未取得,站点反爬拦截，Wayback 亦无可用快照
供电架构,P62,二手,FERC,Docket No. RD26-7-000（指令 NERC 制定强制性可靠性标准）,https://www.powermag.com/ferc-orders-mandatory-nerc-reliability-standards-for-data-center-and-other-computational-loads/,P62_ferc-orders-mandatory-nerc-reliability-standards-for-data-center-and-o.html,,直连,
供电架构,P63,二手,FERC,Docket No. RM26-4-000 与 2026-06-18 六份 show cause 令,https://www.utilitydive.com/news/ferc-doe-data-center-interconnection/823360/,P63_www-utilitydive-com-823360.html,,直连,
供电架构,P64,一手,ERCOT,"Market Notice M-B062325-01, Large Load Survey and Request for Voltage Ride-Through Information",https://www.ercot.com/services/comm/mkt_notices/M-B062325-01,P64_M-B062325-01.html,,直连,
供电架构,P65,二手,ERCOT / PUCT,Large Load Integration；Batch Zero（NPRR 1325 + PGRR 145）,https://www.ercot.com/services/rq/large-load-integration,P65_large-load-integration.html,,直连,
供电架构,P66,一手,Lawrence Berkeley National Laboratory,Queued Up: 2026 Edition,https://eta-publications.lbl.gov/publications/queued-2026-edition-characteristics,P66_queued-2026-edition-characteristics.html,,直连,
供电架构,P67,一手,LBNL / DOE,2024 United States Data Center Energy Usage Report,https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report_1.pdf,P67_lbnl-2024-united-states-data-center-energy-usage-report_1.pdf,,直连,
供电架构,P68,一手,LBNL,United States Data Center Energy Usage Report: 2025 Update,https://eta.lbl.gov/publications/united-states-data-center-energy-2025,P68_united-states-data-center-energy-2025.html,,直连,
供电架构,P69,二手,EPRI,Powering Intelligence 2026（Report No. 3002034696）,https://powering-intelligence.epri.com/,P69_powering-intelligence.epri.com.html,,直连,
供电架构,P70,二手,International Energy Agency,Energy and AI,https://www.iea.org/reports/energy-and-ai,P70_energy-and-ai.html,,wayback:20260907143315,
供电架构,P71,一手,国家发展改革委、国家能源局,关于有序推动绿电直连发展有关事项的通知（发改能源〔2025〕650 号）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202505/t20250530_1398138.html,P71_t20250530_1398138.html,,直连,
供电架构,P72,一手,国家发展改革委等四部门,关于促进人工智能与能源双向赋能的行动方案（国能发科技〔2026〕34 号）,https://www.nea.gov.cn/20260508/4dae97ca01d348e4871bb8654be34b3a/c.html,P72_www-nea-gov-cn-c.html,,直连,
供电架构,P73,一手,国家能源局,算电协同：从「概念」到「落地」的加速跑,https://www.nea.gov.cn/20260710/082757047b114b2798fcdeec42673e18/c.html,P73_www-nea-gov-cn-c.html,,直连,
供电架构,P74,二手,中央网信办等七部门,促进数字化绿色化协同转型发展实施方案（2026—2030 年）,https://finance.sina.com.cn/roll/2026-09-08/doc-inirceww9437313.shtml,P74_doc-inirceww9437313.shtml.html,,直连,
供电架构,P75,二手,国家发展改革委等四部门,数据中心绿色低碳发展专项行动计划,https://www.21jingji.com/article/20240723/herald/144677115a2d66181b3e238ee8c695bb.html,P75_144677115a2d66181b3e238ee8c695bb.html,,直连,
供电架构,P76,一手,,Power Stabilization for AI Training Datacenters,https://arxiv.org/abs/2508.14318,P76_2508.14318.html,,直连,
供电架构,P77,一手,,The Llama 3 Herd of Models（§3.3.4）,https://arxiv.org/abs/2407.21783,P77_2407.21783.html,,直连,
供电架构,P78,一手,,A Pre-Dispatch Resonance Safety Criterion for AI Training Clusters,https://arxiv.org/abs/2606.22096,P78_2606.22096.html,,直连,
供电架构,P79,一手,,Hosting Capacity Assessment of Data Centers with Voltage Ride-Through Capability,https://arxiv.org/html/2609.03030,P79_2609.03030.html,,直连,
供电架构,P80,一手,,"Turning AI Data Centers into Grid-Interactive Assets: Results from a Field Demonstration in Phoenix, Arizona",https://arxiv.org/html/2507.00909v1,P80_2507.00909v1.html,,直连,
供电架构,P81,一手,,Electricity Demand and Grid Impacts of AI Data Centers,https://arxiv.org/html/2509.07218v2,P81_2509.07218v2.html,,直连,
供电架构,P82,一手,,Source Side Mitigation of AI Datacenter Power Fluctuations with a Hybrid Energy Storage System,https://arxiv.org/abs/2606.04869,P82_2606.04869.html,,直连,
供电架构,P83,一手,,Sequential Operating Simulation of Solid State Transformer-Driven Next-Generation 800 VDC Data Center,https://arxiv.org/abs/2601.16502,P83_2601.16502.html,,直连,
供电架构,P84,一手,,"Toward Next-Generation AI Data Centers: Power Delivery Architecture Shifts, Emerging Technologies, and Challenges",https://arxiv.org/abs/2606.25095,P84_2606.25095.html,,直连,
供电架构,P85,一手,,A Comprehensive Design Framework for Vertical Power Delivery in HPC,https://arxiv.org/abs/2606.28837,P85_2606.28837.html,,直连,
供电架构,P86,一手,Uptime Institute,Global Data Center Survey 2026,https://datacenter.uptimeinstitute.com/rs/711-RIA-145/images/UptimeInstitute.GlobalDataCenterSurvey.2026.pdf,P86_UptimeInstitute.GlobalDataCenterSurvey.2026.pdf,,直连,
供电架构,P87,一手,Uptime Institute,Annual Outage Analysis 2026,https://uptimeinstitute.com/about-ui/press-releases/uptime-announces-annual-outage-analysis-report-2026,P87_uptime-announces-annual-outage-analysis-report-2026.html,,直连,
供电架构,P88,二手,Uptime Intelligence,Vendors gearing up for 800V DC adoption（Update 484）,https://intelligence.uptimeinstitute.com/resource/vendors-gearing-800v-dc-adoption,P88_vendors-gearing-800v-dc-adoption.html,,直连,
供电架构,P89,一手,Dell'Oro Group,Data Center Physical Infrastructure Market Forecast to Reach $120 Billion by 2030,https://www.delloro.com/news/data-center-physical-infrastructure-market-forecast-to-reach-120-billion-by-2030/,P89_data-center-physical-infrastructure-market-forecast-to-reach-120-billi.html,,直连,
供电架构,P90,一手,Dell'Oro Group,Data Center Physical Infrastructure Market to Surpass $80 Billion by 2030,https://www.delloro.com/news/data-center-physical-infrastructure-market-to-surpass-80-billion-by-2030/,P90_data-center-physical-infrastructure-market-to-surpass-80-billion-by-20.html,,直连,
供电架构,P91,一手,Dell'Oro Group,DCPI Market Expands 28 Percent Y/Y in 1Q 2026,https://www.delloro.com/news/data-center-physical-infrastructure-market-expands-28-percent-y-y-in-1q-2026/,P91_data-center-physical-infrastructure-market-expands-28-percent-y-y-in-1.html,,直连,
供电架构,P92,二手,Dell'Oro Group,"Inside OCP Global Summit 2025: Power, Cooling, and the Emerging Blueprint for AI Factories",https://www.delloro.com/inside-ocp-global-summit-2025-power-cooling-and-the-emerging-blueprint-for-ai-factories/,P92_inside-ocp-global-summit-2025-power-cooling-and-the-emerging-blueprint.html,,直连,
供电架构,P93,二手,SemiAnalysis,Inside the 800VDC Revolution – Part 1,https://newsletter.semianalysis.com/p/inside-the-800vdc-revolution-part,P93_inside-the-800vdc-revolution-part.html,,直连,
供电架构,P94,二手,SemiAnalysis,AI Training Load Fluctuations at Gigawatt-Scale — Risk of Power Grid Blackout?,https://newsletter.semianalysis.com/p/ai-training-load-fluctuations-at-gigawatt-scale-risk-of-power-grid-blackout,P94_ai-training-load-fluctuations-at-gigawatt-scale-risk-of-power-grid-bla.html,,直连,
供电架构,P95,二手,Duke University Nicholas Institute,Rethinking Load Growth: Assessing the Potential for Integration of Large Flexible Loads in US Power Systems,https://nicholasinstitute.duke.edu/,P95_nicholasinstitute.duke.edu.html,,直连,
供电架构,P96,二手,EPRI,DCFlex Initiative Expands to Nine Demonstration Sites,https://www.epri.com/about/media-resources/press-release/rBbBPmK6zVt6eXN9rGQlWLMRwHRHQWIS,P96_rBbBPmK6zVt6eXN9rGQlWLMRwHRHQWIS.html,,直连,
供电架构,P97,二手,Epoch AI,Largest AI data centers ranked by power capacity,https://epoch.ai/data-insights/data-center-sizes,P97_data-center-sizes.html,,直连,
供电架构,P98,二手,TrendForce,Breaking Through the AI Power Wall: Why SiC/GaN Matter in the HVDC Era,https://insights.trendforce.com/p/sic-and-gan-ai-power-wall,P98_sic-and-gan-ai-power-wall.html,,直连,
供电架构,P99,二手,中国信息通信研究院,面向智算中心的储能备电技术研究,https://www.cww.net.cn/article?id=610893,P99_article.html,,直连,
供电架构,P100,一手,ODCC 开放数据中心委员会,巴拿马供电技术白皮书（ODCC-2020-02001）,https://13115299.s21i.faiusr.com/61/1/ABUIABA9GAAg_v7qjQYoq6SE3Qc.pdf,P100_ABUIABA9GAAg_v7qjQYoq6SE3Qc.pdf,,直连,
供电架构,P101,未获原文,CDCC 中国数据中心工作组,数据中心 800V 直流供电技术白皮书 1.0（2025-08-15）／2.0（2025-11-20）,https://m.cra-ccua.org.cn/site/content/9494.html,P101_m-cra-ccua-org-cn-9494.html,,直连,此链接为 CDCC 发布页，非白皮书本身
供电架构,P102,二手,Data Center Knowledge,Data Center World 2026: Power Architecture Pushed Beyond the Rack,https://www.datacenterknowledge.com/build-design/data-center-world-2026-new-limits-push-power-architecture-beyond-the-rack,P102_data-center-world-2026-new-limits-push-power-architecture-beyond-the-r.html,,直连,
供电架构,P103,二手,Network World,"Google, Microsoft and Nvidia back 800V DC standard for AI data centers",https://www.networkworld.com/article/4209380/google-microsoft-and-nvidia-back-800v-dc-standard-for-ai-data-centers.html,P103_google-microsoft-and-nvidia-back-800v-dc-standard-for-ai-data-centers.html,,直连,
供电架构,P104,二手,POWER Magazine,"Transformers in 2026: Shortage, Scramble, or Self-Inflicted Crisis?",https://www.powermag.com/transformers-in-2026-shortage-scramble-or-self-inflicted-crisis/,P104_transformers-in-2026-shortage-scramble-or-self-inflicted-crisis.html,,直连,
供电架构,P105,二手,Terrapin Construction Group,"Switchgear, Transformer, and Generator Lead Times in 2026",https://terrapincg.com/news/switchgear-transformer-generator-lead-times-2026,P105_switchgear-transformer-generator-lead-times-2026.html,,直连,
供电架构,P106,二手,Data Center Frontier,Why NERC Now Sees AI Data Centers as Grid Actors,https://www.datacenterfrontier.com/energy/article/55376679/why-nerc-now-sees-ai-data-centers-as-grid-actors,P106_why-nerc-now-sees-ai-data-centers-as-grid-actors.html,,直连,
供电架构,P107,二手,Data Center Frontier,Inside Microsoft's Global AI Infrastructure: The Fairwater Blueprint,https://www.datacenterfrontier.com/hyperscale/article/55317925/inside-microsofts-global-ai-infrastructure-the-fairwater-blueprint,P107_inside-microsofts-global-ai-infrastructure-the-fairwater-blueprint.html,,直连,
供电架构,P108,二手,,Kyber / Mt. Diablo 技术笔记,https://www.glennklockwood.com/garden/kyber,P108_kyber.html,,直连,
供电架构,P109,二手,Power Electronics News,APEC 2026: The Race to Deliver 800 VDC Power Straight to the GPU,https://www.powerelectronicsnews.com/apec-2026-the-race-to-deliver-800-vdc-power-straight-to-the-gpu/,,,未取得,无法建立连接
供电架构,P110,二手,国信证券、中金公司、东吴证券、天风证券,数据中心电力设备与柜外电源系列深度报告,https://pdf.dfcfw.com/pdf/H3_AP202502181643205957_1.pdf,P110_H3_AP202502181643205957_1.pdf,,直连,
供电架构,P111,厂商,Schneider Electric,关于 800VDC 弧闪风险评估方法的技术说明,,,,未取得,报告中已声明无可引用 URL
供电架构,P112,二手,Turbomachinery International / Utility Dive,GE Vernova Gas Turbine Backlog Hits 116 GW,https://www.turbomachinerymag.com/view/ge-vernova-gas-turbine-backlog-hits-116-gw-as-power-orders-more-than-double,,,未取得,站点反爬拦截，Wayback 亦无可用快照
供电架构,P113,二手,Cleanview / Data Center Dynamics,Bypassing the Grid: How Data Center Developers Are Building Their Own Power Plants,https://cleanview.co/reports/behind-the-meter-data-centers,P113_behind-the-meter-data-centers.html,,直连,
供电架构,P114,二手,多来源汇编,数据中心核电 PPA 与 SMR 协议汇总（Constellation、Kairos、X-energy 等）,https://smrintel.com/nuclear-data-center-deals/,P114_nuclear-data-center-deals.html,,直连,
供电架构,P115,二手,CNBC,Nvidia Kyber rack system delays（首发 SemiAnalysis，经 DCD、Tom's Hardware 跟进）,https://www.cnbc.com/2026/07/06/nvidia-kyber-rack-system-delays-manufacturing-taiwan-rubin-chips-.html,P115_nvidia-kyber-rack-system-delays-manufacturing-taiwan-rubin-chips.html,,直连,
供电架构,P116,二手,TrendForce,GB200 NVL72 量产与出货时点,https://www.trendforce.com/presscenter/news/20241217-12412.html,P116_20241217-12412.html,,直连,
供电架构,P117,一手,Microsoft,Infinite Scale: The Architecture Behind the Azure AI Superfactory,https://blogs.microsoft.com/blog/2025/11/12/infinite-scale-the-architecture-behind-the-azure-ai-superfactory/,P117_infinite-scale-the-architecture-behind-the-azure-ai-superfactory.html,,直连,
供电架构,P118,二手,TechNews,字节跳动 AI Rack 3.0（OCP 开放计算中国峰会发布）,https://technews.tw/2026/07/10/china-byte-800v-hvdc/,P118_china-byte-800v-hvdc.html,,直连,
